负责人	学校名称	世界排名	学院	专业名称	学制	总学费（当地货币）	申请起止日	语言要求	是否需要GRE	是否有面试	是否要作品集/writing sample/essay
小陈	爱丁堡	34	信息学院29	数据科学硕士 MSc Data Science	1年	45410	3.31	7/6.5 100/L23	无明确要求	无明确要求	无明确要求
小陈	爱丁堡	34	信息学院29	设计信息学硕士	1年	45410	5.31	7/6.5 100/L23	无明确要求	无明确要求	无明确要求
小陈	爱丁堡	34	信息学院29	人工智能硕士 MSc Data Science	1年	45410	3.31	7/6.5 100/L23	无明确要求	无明确要求	无明确要求
小陈	爱丁堡	34	信息学院29	认知科学硕士 MSc Cognitive Science	1年	45410	3.31	7/6.5 100/L23	无明确要求	无明确要求	无明确要求
小陈	爱丁堡	34	信息学院29	计算机科学硕士 MSc Computer Science	1年	45410	3.31	7/6.5 100/L23	无明确要求	无明确要求	无明确要求
小陈	爱丁堡	34	信息学院29	网络安全、隐私和信任硕士 MSc Cyber Security, Privacy and Trust	1年	45410	3.31	7/6.5 100/L23	无明确要求	无明确要求	无明确要求
小陈	爱丁堡	34	信息学院29	高性能计算硕士 MSc High Performance Computing	1年	39200	12.15 3.31 5.31	7/6 100/L20	无明确要求	无明确要求	无明确要求
小陈	爱丁堡	34 计算机23 数据科学24	信息学院29	高新能计算与数据科学硕士 MSc High Performance Computing with Data Science	1年	39200	12.15 3.31 5.31	7/6 100/L20	无明确要求	无明确要求	无明确要求
小陈	爱丁堡	34	商学院30	市场营销硕士 MSc Marketing	1年	33200	10.15 12.10 2.11 4.22 6.10	7/6 100/L20	无明确要求	无明确要求	无明确要求
小陈	爱丁堡	34	商学院30	工商管理硕士 MBA Business Administration	1年	33200	10.15 12.10 2.11 4.22 6.10	7/6 100/L20	无明确要求	无明确要求	无明确要求
小陈	爱丁堡	34	商学院30	银行创新与风险分析硕士 MSc in Banking Innovation and Risk Analytics	1年	37800	10.15 12.10 2.11 4.22 6.10	7/6 100/L20	无明确要求	无明确要求	无明确要求
小陈	爱丁堡	34	商学院30	气候变化金融与投资硕士 MSc Climate Change Finance and Investment	1年	32000	10.15 12.10 2.11 4.22 6.10	7/6 100/L20	加分项	无明确要求	无明确要求
小陈	爱丁堡	34	商学院30	创业与创新硕士 MSc Entrepreneurship and Innovation	1年	27100	10.15 12.10 2.11 4.22 6.10	7/6 100/L20	无明确要求	无明确要求	无明确要求
小陈	爱丁堡	34	商学院30	金融、技术和政策硕士 MSc Finance, Technology and Policy	1年	43900	10.15 12.10 2.11 4.22 6.10	7/6 100/L20	无明确要求	无明确要求	无明确要求
小陈	爱丁堡	34	商学院30	人力资源管理硕士 MSc Human Resource Management	1年	33200	10.15 12.10 2.11 4.22 6.10	7/6 100/L20	无明确要求	无明确要求	无明确要求
小陈	爱丁堡	34	商学院30	商业分析硕士 MSc in Business Analytics	1年	34800	10.15 12.10 2.11 4.22 6.10	7/6 100/L20	无明确要求	无明确要求	无明确要求
小陈	爱丁堡	34	商学院30	全球战略与可持续发展硕士 MSc in Global Strategy and Sustainability	1年	32000	10.15 12.10 2.11 4.22 6.10	7/6 100/L20	无明确要求	无明确要求	无明确要求
小陈	爱丁堡	34	商学院30	国际人力资源管理硕士 MSc International Human Resource Management	1年	33200	10.15 12.10 2.11 4.22 6.10	7/6 100/L20	无明确要求	无明确要求	无明确要求
小陈	爱丁堡	34	商学院30	管理学硕士 MSc Management	1年	34800	10.15 12.10 2.11 4.22 6.10	7/6 100/L20	无明确要求	无明确要求	无明确要求
小陈	爱丁堡	34	商学院30	会计与财务管理硕士 MSc Accounting and Financial Management	1年	36310	10.15 12.10 2.11 4.22 6.10	7/6 100/L20	无明确要求	无明确要求	无明确要求
小陈	爱丁堡	34	商学院30	金融与投资硕士 MSc Finance and Investment	1年	36310	10.15 12.10 2.11 4.22 6.10	7/6 100/L20	无明确要求	无明确要求	无明确要求
小陈	爱丁堡	34	商学院30	商业人工智能硕士 MSc AI for Business	1年	32000	10.15 12.10 2.11 4.22 6.10	7/6 100/L20	无明确要求	无明确要求	无明确要求
小陈	爱丁堡	34	工程学院31	数字设计与制造硕士 MSc Digital Design and Manufacture	1年	39200	8.30.	6.5/6 92/L20	无明确要求	无明确要求	无明确要求
小陈	爱丁堡	34	工程学院31	高级化学工程硕士 MSc Advanced Chemical Engineering	1年	39200	8.30.	6.5/6 92/L20	无明确要求	无明确要求	无明确要求
小陈	爱丁堡	34	工程学院31	高级电力工程硕士 MSc Advanced Power Engineering	2年	29270	8.30.	6.5/6 92/L20	无明确要求	无明确要求	无明确要求
小陈	爱丁堡	34	工程学院31	电力工程硕士 MSc Electrical Power Engineering	1年	39200	12.15 3.31 5.31	6.5/6 92/L20	无明确要求	无明确要求	无明确要求
小陈	爱丁堡	34	工程学院31	电子学硕士 MSc Electronics	1年	39200	12.15 3.31 5.31	6.5/6 92/L20	无明确要求	无明确要求	无明确要求
小陈	爱丁堡	34	工程学院31	传感器和成像系统硕士 MSc Sensor and Imaging Systems	1年	33210	12.15 3.31 5.31	6.5/6 92/L20	无明确要求	无明确要求	无明确要求
小陈	爱丁堡	34	工程学院31	信号处理和通信硕士 MSc Signal Processing and Communications	1年	39200	12.15 3.31 5.31	6.5/6 92/L20	无明确要求	无明确要求	无明确要求
小陈	爱丁堡	34	工程学院31	可持续能源系统理学硕士 MSc Sustainable Energy Systems	1年	39200	12.15 3.31 5.31	6.5/6 92/L20	无明确要求	无明确要求	无明确要求
小陈	爱丁堡	34	工程学院31	消防工程科学硕士 MSc Fire Engineering Science	1年	39200	8.31	6.5/6 92/L20	无明确要求	无明确要求	无明确要求
小陈	爱丁堡	34	Moray House教育与体育学院815	比较教育与国际发展（CEID）硕士 MSc Comparative Education and International Development (CEID)	1年	32000	7.30.	7/6.5 100/L23	无明确要求	无明确要求	无明确要求
小陈	爱丁堡	34	Moray House教育与体育学院815	教育学硕士 MSc Education	1年	32000	7.30.	7/6.5 100/L23	无明确要求	无明确要求	无明确要求
小陈	爱丁堡	34	Moray House教育与体育学院815	语言和跨文化交流硕士 MSc Language and Intercultural Communication	1年	32000	7.30.	7/6.5 100/L23	无明确要求	无明确要求	无明确要求
小陈	爱丁堡	34	Moray House教育与体育学院815	语言教育硕士 MSc Language Education	1年	32000	7.30.	7/6.5 100/L23	无明确要求	无明确要求	无明确要求
小陈	爱丁堡	34	Moray House教育与体育学院815	运动与表现心理学硕士 MSc Sport and Performance Psychology	1年	32000	7.30.	7/6 100/L20	无明确要求	无明确要求	无明确要求
小陈	爱丁堡	34	Moray House教育与体育学院815	体育活动促进健康硕士 MSc Physical Activity for Health	1年	32000	7.30.	7/6 100/L20	无明确要求	无明确要求	无明确要求
