负责人	学校名称	世界排名	学院	专业名称	学制	总学费（当地货币）	申请起止日	语言要求	是否需要GRE	是否有面试	是否要作品集/writing sample/essay
田田	香港大学	11	LKS医学院	医学科学硕士	一年	190,000港币	11.17~次年3.31	雅思：总分6，小分5.5 托福：总分80以上	否	入学考试	
				护理学硕士	一年	159,999港币	第一轮：10.13~次年1.31 第二轮：次年2.1~次年3.20	雅思：总分6，小分5.5 托福：总分80以上	否	有	
				公共卫生硕士	一年	220,200港币	第一轮：11.3~次年2.13 第二轮：次年2.14~次年4.30	雅思：总分6，小分5.5 托福：总分80以上	否	入学考试	
				护理学理学硕士	一年	150,000 港币	第一轮：9.22~12.31 第二轮：次年1.1~次年2.27 第三轮：次年2.28~次年4.30	雅思：总分6，小分5.5 托福：总分80以上	否	有	
				深造药剂学硕士	一年	218,040港币	12.1~次年4.30	雅思：总分6，小分5.5 托福：总分80以上	否	有	
				临床研究与产品开发硕士	一年	270，000港币	第一轮：10.15~次年1.30 第二轮：次年1.31~次年3.30 第三轮：次年3.31~次年5.22	雅思：总分6，小分5.5 托福：总分80以上	否	入学考试	
				生物医学创新硕士	一年	303，000港币	11.17~次年3.31	雅思：总分6，小分5.5 托福：总分80以上	否	入学考试	
			工程学院	工程学理学硕士（土木工程）	一年	375，000港币	第一轮：10.9~次年1.2 第二轮：次年1.3~次年4.10	雅思：总分6，小分5.5 托福：总分80以上	否	入学考试	
				工程学理学硕士（创新设计与技术）	一年	375，000港币	第一轮：10.9~次年1.2 第二轮：次年1.3~次年4.10	雅思：总分6，小分5.5 托福：总分80以上	否	入学考试	
				工程学理学硕士（建筑服务工程）	一年	375，000港币	第一轮：10.9~次年1.2 第二轮：次年1.3~次年4.10	雅思：总分6，小分5.5 托福：总分80以上	否	入学考试	
				工程学理学硕士（电气和电子工程）	一年	375，000港币	第一轮：10.9~次年1.2 第二轮：次年1.3~次年4.10	雅思：总分6，小分5.5 托福：总分80以上	否	入学考试	
				工程学理学硕士（工业工程和物流管理）	一年	375，000港币	第一轮：10.9~次年1.2 第二轮：次年1.3~次年4.10	雅思：总分6，小分5.5 托福：总分80以上	否	入学考试	
				工程学理学硕士（机械工程）	一年	375，000港币	第一轮：10.9~次年1.2 第二轮：次年1.3~次年4.10	雅思：总分6，小分5.5 托福：总分80以上	否	入学考试	
				工程学理学硕士（能源工程）	一年	375，000港币	第一轮：10.9~次年1.2 第二轮：次年1.3~次年4.10	雅思：总分6，小分5.5 托福：总分80以上	否	入学考试	
				工程学理学硕士（微电子科学与技术）	一年	375，000港币	第一轮：10.9~次年1.2 第二轮：次年1.3~次年4.10	雅思：总分6，小分5.5 托福：总分80以上	否	入学考试	
				工程学理学硕士（机器人与智能系统）	一年	375，000港币	第一轮：10.9~次年1.2 第二轮：次年1.3~次年4.10	雅思：总分6，小分5.5 托福：总分80以上	否	入学考试	
				工程学理学硕士（基础设施工程与管理）	一年	375，000港币	第一轮：10.9~次年1.2 第二轮：次年1.3~次年4.10	雅思：总分6，小分5.5 托福：总分80以上	否	入学考试	
				工程学理学硕士（低空技术）	一年	375，000港币	第一轮：10.9~次年1.2 第二轮：次年1.3~次年4.10	雅思：总分6，小分5.5 托福：总分80以上	否	入学考试	
				工程学理学硕士（集成电路与电子系统）	一年	375，000港币	第一轮：10.9~次年1.2 第二轮：次年1.3~次年4.10	雅思：总分6，小分5.5 托福：总分80以上	否	入学考试	
			建筑学院	建筑学硕士	两年	460，000港币	9.17~次年1.2	雅思：总分6，小分5.5 托福：总分80以上	否	有	需要
				建筑学硕士（设计）	三年	724，950港币	9.29~次年1.2	雅思：总分6，小分5.5 托福：总分80以上	否	有	需要
				建筑工程管理硕士	一年	280，080港币	9.8~次年1.2	雅思：总分6，小分5.5 托福：总分80以上	否	有	需要
				景观建筑硕士	两年	432，050港币	9.26~次年1.2	雅思：总分6，小分5.5 托福：总分80以上	否	有	需要
				建筑保护硕士	一年	248，800港币	9.18~次年1.2	雅思：总分6.5，小分5.5 托福：总分90以上	否	有	需要
				可持续环境设计硕士	一年	250，000港币	9.22~次年1.2	"雅思：总分6.5，小分6 托福：总分85以上"	否	有	需要
				城市分析理学硕士	一年	240，000港币	第一轮9.5~10.22 第二轮10.23~次年1.2	雅思：总分6，小分5.5 托福：总分80以上	否	有	
				城市设计与交通理学硕士	两年	372，000港币	第一轮：9.1~10.22 第二轮：10.23~次年1.2 第三轮：次年1.3~次年2.2	雅思：总分6，小分5.5 托福：总分80以上	否	有	需要
				城市设计硕士	一年	2925000港币	第一轮：9.1~10.22 第二轮：10.23~次年1.2	雅思：总分6，小分5.5 托福：总分80以上"	否	有	需要
